Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
Mindstorms,[0661e700-9aff-43b4-a866-b99dab3fdfa3]
   1.0,[2dc0e5d6-c91e-4c36-bc13-d13aadd00d94]
      3803,[Robotics Invention System Upgrade Kit]
      9709,[RCX Programmable LEGO Brick]
      9713,[Infrared Transmission Tower]
      9719,[Robotics Invention System]
      9730,[Robo Sports]
      9732,[Extreme Creatures]
      9735,[Robotics Discovery Set]
      9738,[RCX Remote Control Unit]
      9755,[Temperature Sensor]
      9756,[Rotation Sensor]
      9757,[Touch Sensor]
      9758,[Light Sensor]
      9889,[Temperature Sensor]
      9911,[Touch Sensor and Leads]
   2.0,[3d7dc213-130f-46fb-8606-19af52939bbe]
      3804,[Robotics Invention System V2.0]
   1.5,[46b5b6bf-d9ca-4045-81a6-1dbd04d200d3]
      3800,[Ultimate Builders Set]
      3801,[Ultimate Accessory Set]
      3805,[Robotics Invention System Upgrade Kit]
      9731,[Vision Command]
      9736,[Exploration Mars]
      9739,[Micro Scout PC Link]
      9747,[Robotics Invention System]
   NXT,[6d1da638-8b7d-4028-9e2c-f8d6bc7c573e]
      8527,[Mindstorms NXT]
      9798,[Rechargeable Battery]
      9833,[Transformer]
      9842,[Interactive Servo Motor]
      9844,[Light Sensor]
      9841,[NXT Intelligent Brick]
      9845,[Sound Sensor]
      9843,[Touch Sensor]
      9846,[Ultrasonic Sensor]
      9847,[Bluetooth Dongle]
      8529,[Connector Cables for Mindstorms NXT]
      8528,[Converter Cables for Mindstorms NXT]
      MS1034,[Compass Sensor for Mindstorms NXT]
      MS1038,[Colour Sensor for Mindstorms NXT]
      MS1040,[Accelerometer Sensor for Mindstorms NXT]
      MS1042,[Infrared Seeker]
      MS1044,[Gyroscopic Sensor]
      4524081,[Mindstorms NXT CD]
      MS1046,[Infrared Link Sensor]
      MS1049,[Keyfob Transponder]
      MS1048,[RF ID Sensor]
      10287,[Intelligent NXT Brick (Black)]
      9749,[NXT Temperature Sensor]
      2855040,[Mindstorms NXT IR Receiver]
      2853216,[Infrared Link Sensor]
      2852726,[Gyroscopic Sensor]
      2852725,[Infrared Seeker]
      2852724,[Accelerometer Sensor]
      10285,[Compass Sensor]
      10286,[Colour Sensor ]
   ,[95a8bf5a-cb3e-4c5e-b147-44eb4eb61f4c]
      45517,[Transformer 10V DC]
   NXT 2.0,[9c176a59-bc4b-4f38-9414-8bb9ff4283ed]
      8547,[Mindstorms NXT 2.0]
   EV3,[a448f5da-6758-49ce-a271-81244e5d0633]
      31313,[Mindstorms EV3]
      45500,[EV3 Intelligent Brick]
      45502,[EV3 Large Servo Motor]
      45503,[EV3 Medium Servo Motor]
      45504,[EV3 Ultrasonic Sensor]
      45505,[EV3 Gyro Sensor]
      45506,[EV3 Colour Sensor]
      45507,[EV3 Touch Sensor]
      45508,[EV3 Infrared Beacon]
      45509,[EV3 Infrared Sensor]
      EV3MEG,[EV3 MEG Mini]
   Star Wars,[f4162bcb-68f3-40c2-aba4-1e3cdc57f729]
      9748,[Droid Developer Kit]
      9754,[Dark Side Developer Kit]
Alpha Team,[0718de69-a6bf-4378-bc5f-07dabfa68a79]
