Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
      76026,[Gorilla Grodd Goes Bananas]
      76027,[Black Manta Deep Sea Strike]
      76028,[Darkseid Invasion]
      76040,[Brainiac Attack]
      5004081,[Plastic Man]
   Classic Batman TV Series,[e032c0c1-61a5-4d6e-b882-37e0f4553d21]
      COMCON037,[Batman Classic TV Series Batmobile]
      76052,[Batman Classic TV Series - Batcave]
      30603,[Batman Classic TV Series - Mr. Freeze]
   Product Collection,[e295ca5d-4a6b-400f-afa0-5053e23a5fab]
      5004816,[Super Heroes DC Collection]
   DC Extended Universe,[e743d2a1-c15a-4562-811d-095cd1f505ab]
      5001623,[Jor-El]
      76044,[Clash of the Heroes]
      76045,[Kryptonite Interception]
      76046,[Heroes of Justice: Sky High Battle]
      30446,[The Batmobile]
      76002,[Superman Metropolis Showdown]
      76003,[Superman: Battle of Smallville]
      76009,[Superman: Black Zero Escape]
   Constraction,[fcb1ec4a-5c73-4da6-94e1-593f14e3b5ba]
      4527,[The Joker]
      4526,[Batman]
      4528,[Green Lantern]
4 Juniors,[255e95a3-1f1d-4a69-8bc0-eca07e901d7c]
   Pirates,[147137d4-0d25-4090-b080-5a91d8598dce]
      7070,[Catapult Raft]
      7071,[Treasure Island]
      7072,[Captain Kragg&#39;s Pirate Boat]
      7073,[Pirate Dock]
      7074,[Skull Island]
      7075,[Captain Redbeard&#39;s Pirate Ship]
      7080,[Scurvy Dog and Crocodile]
      7081,[Harry Hardtack and Monkey]
      7082,[Cannonball Jimmy and Shark]
      7290,[Captain Kragg in Barrel]
   Spider-Man,[16dba2b8-9c63-4751-986e-f6214679cd1f]
      4858,[Doc Ock&#39;s Crime Spree]
      4860,[Doc Ock&#39;s Cafe Attack]
   Product Collection,[36d459d2-8b30-43cb-b708-9475d8b1b0f9]
      65462,[Bonus/Value Pack]
   Accessories,[7f4a904f-89c5-4042-998b-bfb6ef083a04]
      7099,[Accessory Motor]
   City,[a8fd123c-c68a-4665-9ac5-6dba949dd40a]
      4651,[Police Motorcycle]
      4652,[Tow Truck]
      4653,[Dump Truck]
      4654,[Tanker Truck]
      4655,[Quick Fix Station]
      4657,[Fire Squad HQ]
      4666,[Speedy Police Car]
      4667,[Loadin&#39; Digger]
      4668,[Outrigger Construction Crane]
      4669,[Turbo-Charged Police Boat]
Sports,[25fb14d4-3960-43ac-bb39-570ff0a72c33]
   Gravity Games,[097d2c96-5050-4230-bb84-c3240ed8f3ff]
      3389,[Skater Boy]
      3535,[Skateboard Street Park]
      3536,[Snowboard Big Air Comp]
      3537,[Skateboard Vert Park Challenge]
      3538,[Snowboard Boarder Cross Race]
      3585,[Snowboard Super Pipe]
      5015,[Skater]
      5018,[Snowboard]
      7921,[Snowboarder, Grey Vest]
      7922,[Snowboarder, Orange Vest]
   Basketball,[54fb36f3-80aa-4c34-b73b-d4af0fa9304b]
      3390,[Street Basket]
      3427,[NBA Slam Dunk]
      3428,[One vs One Action]
      3429,[Ultimate Defense]
      3430,[Spin &amp; Shoot]
      3431,[Street Ball 2 vs 2]
      3432,[NBA Challenge]
      3433,[The Ultimate NBA Arena]
      3440,[NBA Jam Session Co-Pack]
      3500,[Kobe Bryant]
      3529,[Pau Gasol]
      3530,[Tony Parker]
      3548,[Slam Dunk Trainer]
      3549,[Practice Shooting]
      3550,[Jump and Shoot]
      3560,[NBA Collectors # 1]
      3561,[NBA Collectors # 2]
      3562,[NBA Collectors # 3]
      3563,[NBA Collectors # 4]
      3564,[NBA Collectors # 5]
      3565,[NBA Collectors # 6]
      3566,[NBA Collectors # 7]
      3567,[NBA Collectors # 8]
      3584,[Rapid Return]
      5016,[Basketball]
      7917,[Basketball Player, Blue]
      7918,[Basketball Player, Green]
      5013,[Basketball]
      10121,[NBA Basketball Teams]
   Hockey,[61a469fb-5b56-419f-8e9c-3d23767237f5]
      3540,[Puck Passer]
      3541,[Slap Shot]
      3542,[Flip Shot]
      3543,[Slammer Goalie]
      3544,[Game Set]
      3545,[Puck Feeder]
      3557,[Blue Player and Goal]
      3558,[Red Player and Goal]
      3559,[Red and Blue Player]
      3578,[NHL Championship Challenge]
      3579,[NHL Street Hockey]
      5014,[Hockey]
      5017,[Hockey Headshox]
      7919,[Hockey Player, White]
      7920,[Hockey Player, Blue]
      10127,[NHL All Teams Set]
   Product Collection,[d2a1df0d-faf7-4965-ba45-7b1488ffc12b]
      65182,[Slammer Stadium]
      65221,[Street Basketball set with Spalding mini-basketball]
      78800,[Soccer Co-Pack]
      78880,[Football Co-Pack]
   Football,[dcdb6cd0-0e5c-44f6-ad27-266ff6be1ae9]
      3401,[Shoot &#39;n&#39; Score]
      3402,[Stand with Lights]
      3403,[Fans&#39; Grandstand with Scoreboard]
      3404,[Black Team Transport]
      3405,[Americas Team Bus]
      3406,[Blue Team Transport]
      3407,[Red Team Transport]
      3408,[Super Sports Coverage]
      3409,[Championship Challenge]
      3410,[Field Expander]
      3411,[Americas Team Bus]
      3412,[Point Shooting]
      3413,[Goalkeeper]
      3414,[Precision Shooting]
      3415,[Japanese Soccer Team]
      3416,[Women&#39;s Team]
      3418,[Point Shooting]
      3419,[Precision Shooting]
      3420,[Championship Challenge II]
      3421,[3 vs 3 Shootout]
      3422,[Shoot &#39;n&#39; Save]
      3423,[Freekick Frenzy]
      3424,[Target Practice]
      3425,[US National Team Cup Edition Set]
      3426,[Adidas Team Transport]
      4443,[Defender 1]
      4444,[Defender 2]
      4445,[Mid Fielder 1]
      4446,[Forward 1]
      4447,[Forward 2]
      4448,[Defender 3]
      4449,[Defender 4]
      4450,[Mid Fielder 2]
      4451,[Forward 3]
      4452,[Forward 4]
      4453,[Goal Keeper]
      4454,[Referee]
      4455,[Hotdog Girl]
      4456,[Doctor]
      4457,[TV Cameraman]
      4458,[TV Camera]
      4459,[PK Kicker]
      4460,[Goal]
      4461,[Bench]
      4462,[Hotdog Trolley]
      4463,[Light]
      4464,[Bottle Case]
      4465,[Vending Machine]
      4466,[Sign Board]
      4467,[Stretcher]
      4468,[Stand]
      4469,[Drinks&#39; Stand]
      4470,[Ball]
      4471,[Secret Set A]
      4472,[Secret Set B]
      5012,[Soccer]
      1428,[Kick &#39;n&#39; Score]
      1429,[Goalkeeper Training]
      1430,[Precision Training]
      7923,[Football Player, White]
      7924,[Football Player, Red]
      3568,[Soccer Target Practice]
      3569,[Grand Soccer Stadium]
      3570,[Street Soccer]
      3573,[Superstar Figure ]
      3401,[Shoot &#39;n&#39; Score (Zidane Edition)]
      3420,[Championship Challenge II (Bayern Munich FC Edition)]
      3420,[Championship Challenge II (L&#39;Equipe de France Edition)]
      3422,[Shoot &#39;n&#39; Save (Bayern Munich FC Edition)]
      3404,[Black Team Transport (With LEGO Football)]
      3425,[Grand Championship Cup ]
Belville,[2727b6fc-fccf-4ad9-acaa-1073f641030e]
   Fairy-Tale,[1553910f-8c15-41df-950f-4de83abdb5f3]
      5801,[Millimy the Fairy]
      5802,[Princess Rosaline]
      5803,[Iris]
      5804,[Witch&#39;s Cottage]
      5805,[Princess Rosaline&#39;s Room]
      5807,[The Royal Stable]
      5808,[The Enchanted Palace]
      5811,[Prince Justin]
      5812,[King]
      5823,[The Good Fairy&#39;s Bedroom]
      5824,[The Good Fairy&#39;s House]
      5825,[Stella and the Fairy]
      5826,[The Queen&#39;s Room]
      5827,[Royal Coach]
      5831,[Adventurous Puppies]
      5832,[Vanilla&#39;s Magic Tea Party]
      5833,[Rosita&#39;s Wonderful Stable]
      5834,[The Enchanted Garden]
   Seasonal,[8e0d9dee-b736-413a-9ac0-f35a0c2d8641]
      7600,[Advent Calendar]
   ,[a3ea6140-01be-4ae5-9444-33fffa94bfc2]
      2858,[Girl with Two Cats]
      5810,[Vanity Fun]
      5820,[Belville Garden Fun]
      5821,[Pamela&#39;s Picnic Time]
      5822,[Jennifer and Foal]
      5830,[Fun-Day Sundaes]
      5835,[Belville Dance Studio]
      5836,[Beautiful Baby Princess]
      5837,[Flora&#39;s Bubbling Bath]
      5838,[The Wicked Madam Frost]
      5840,[Garden Playmates]
      5841,[Beach Fun]
      5842,[Vanilla&#39;s Frosty Sleighride]
      5843,[Queen Rose and the Little Prince Charming]
      5844,[Dolphin Windsurfer]
      5845,[Dolphin Show]
      5846,[Desert Island]
      5847,[Surfers&#39; Paradise]
      5848,[The Belville Luxury Cruiser]
      5850,[The Royal Crystal Palace]
      5853,[Lucinda and Cressida]
      5854,[Pony Trekking]
      5855,[Riding Stables]
      5856,[Paprika and the Mischievous Monkey]
      5857,[Safran&#39;s Amazing Bazaar]
      5858,[The Golden Palace]
      5859,[Little Garden Fairy]
      5860,[Love &#39;N&#39; Lullabies]
      5861,[Fairy Island]
      5862,[Flower Fairy Party]
      5870,[Pretty Playland]
      5871,[Riding Stables]
      5872,[Golden Land]
      5873,[Bellville ]
      5874,[Nursery]
      5875,[Belville Hospital Ward]
      5876,[Belville Hospital Ward]
      5877,[The Royal Wedding Coach]
      5880,[Prize Pony Stables]
      5890,[Pretty Wishes Playhouse]
      5895,[Villa Belville]
      5940,[Doll House]
      5941,[Riding School]
      5942,[Pop Studio]
      5943,[Interior Designer]
      5944,[Cat Show]
      5960,[The Mermaid Castle]
      5961,[Snow Queen]
      5962,[The Tinderbox]
      5963,[The Princess and the Pea]
      5964,[Thumbelina]
      7577,[Winter Wonder Palace]
      7578,[Ultimate Princesses]
      7579,[Blossom Fairy]
      7583,[Playful Puppy]
      7587,[Horse Jumping]
      7586,[Sunshine Home]
      7585,[Horse Stable]
      5977,[Travel Friends (In-flight)]
      2555,[Belville Swing Set]
   Fairytales,[e389b46c-5477-4c31-a2c8-98cb9ceacd24]
      7582,[Royal Summer Palace]
      7580,[The Skating Princess]
      7581,[Winter Royal Stables]
Advanced Models,[27b66388-7455-48f1-8d28-415a878fa65d]
   Fairground,[635ca655-64f1-421f-8a35-abcd11e80b58]
      10244,[Fairground Mixer]
      10247,[Ferris Wheel]
      10196,[Grand Carousel]
   Trains,[7ae01151-b471-4bfe-9822-06b2cd34534f]
      10233,[Horizon Express]
      10194,[Emerald Night]
      10219,[Maersk Train]
   Vehicles,[81f3ecff-b507-4ef9-9bf0-47ed7043b19e]
      10242,[Mini Cooper MK VII]
      10248,[Ferrari F40]
      10252,[Volkswagen Beetle]
      10187,[Volkswagen Beetle]
      10220,[Volkswagen T1 Camper Van]
   Winter Village,[8ca7bef2-92c6-4eae-8fc6-e642da9d0cbe]
      10235,[Winter Village Market]
      10245,[Santa&#39;s Workshop]
      10249,[Winter Toy Shop]
      10254,[{Winter Train}]
      10199,[Winter Village Toy Shop]
      10216,[Winter Village Bakery]
      10222,[Winter Village Post Office]
      10229,[Winter Village Cottage]
   Maersk,[8f1b64b0-eae1-414a-9bed-5867967b238c]
      10152,[Maersk Sealand Container Ship]
      10241,[Maersk Line Triple-E]
      10155,[Maersk Line Container Ship]
   Aircraft,[a5dd5494-e977-4b74-8516-55c002352b29]
      3451,[Sopwith Camel]
      10024,[Red Baron]
      10177,[Boeing 787 Dreamliner]
      10124,[Wright Flyer]
      10226,[Sopwith Camel]
   Buildings,[b7b0dd21-2d45-44d5-8fb5-fa76829cb2ab]
      10234,[Sydney Opera House]
      10253,[Big Ben]
      71040,[Disney World Cinderella Castle]
      10181,[Eiffel Tower ]
      10189,[Taj Mahal]
      10214,[Tower Bridge]
   Modular Buildings,[d457680e-65aa-4d68-8f85-fc8c59fe4acb]
      10232,[Palace Cinema]
      10243,[Parisian Restaurant]
      10246,[Detective&#39;s Office]
      10251,[Brick Bank]
      10182,[Cafe Corner]
      10185,[Green Grocer]
      10197,[Fire Brigade]
      10211,[Grand Emporium]
      10218,[Pet Shop]
      10230,[Mini Modulars]
      10224,[Town Hall]
   Sculptures,[d66c583b-e4ee-4250-ba73-90f272b6c9e3]
      3450,[Statue of Liberty]
      3723,[LEGO Mini-Figure]
      3724,[LEGO Dragon]
   Space,[d8869dd2-aa88-4a6b-bad3-2945ed96d96d]
      10213,[Shuttle Adventure]
      10231,[Shuttle Expedition]
Factory,[2b6f2524-1890-4c6a-9a28-524ae5cf725e]
   ,[068d79b4-5abc-4657-ae14-d2d11ac75586]
      5524,[Airport]
      5525,[Amusement Park]
      5526,[Skyline]
   Modular Buildings,[660d0278-1dfd-409b-ba4e-3ac55fc9cf6b]
      10190,[Market Street]
   Trains,[8d7c2efb-f82d-46a4-8507-608d4cde8496]
      10183,[Hobby Trains]
   Space,[aa85a157-4852-4555-9fea-8fd688fcf8b1]
      10191,[Star Justice]
      10192,[Space Skulls]
   Custom Cars,[dd26521f-8b79-48fa-a11c-428613faed14]
      10200,[Custom Car Garage]
Discovery,[2cc92139-70b7-414b-a01b-c6d4f28c4822]
   ,[23450bee-a64a-480b-91e9-0808eadcbb88]
      10029,[Lunar Lander]
      7467,[International Space Station]
      7468,[Saturn V Moon Mission]
      7469,[Mission To Mars]
      7470,[Space Shuttle Discovery-STS-31]
      7471,[Mars Exploration Rover]
Dinosaurs,[30a138ce-f563-4dd7-a225-e75cecc79898]
   ,[e70a2efc-a20c-4228-8b4a-a1168fd666fa]
      5950,[Baby Ankylosaurus]
      5951,[Baby Iguanodon]
      5952,[Baby Brachiosaurus]
      5953,[Baby Dimetrodon]
      6719,[Brachiosaurus]
      6720,[Tyrannosaurus Rex]
      6721,[Mosasaurus]
      6722,[Styracosaurus]
      7000,[Baby Ankylosaurus]
      7001,[Baby Iguanodon]
      7002,[Baby Brachiosaurus]
      7003,[Baby Dimetrodon]
Spybotics,[350d8111-ecfd-41ac-a976-43ff05c8dd0a]
   ,[f09b3db9-e0fb-476f-a858-a4355d18fe65]
      3806,[Gigamesh G60]
      3807,[Snaptrax S45]
      3808,[Shadowstrike S70]
      3809,[Technojaw T55]
Spider-Man,[367b5961-de2c-4824-9a84-b581d719a82d]
   Product Collection,[af604365-6788-49bf-b0cd-924ee5092c58]
      65518,[Bonus/Value Pack]
      65708,[Bonus/Value Pack]
      65572,[Spider-Man Combined Set]
   ,[cd0db201-65e7-4c05-909e-73e93c2d7402]
      4850,[Spider-Man&#39;s first chase]
      4851,[Spider-Man and Green Goblin -- The origins]
      4852,[Spider-Man vs. Green Goblin -- The final showdown]
      4853,[Spider-Man&#39;s Street Chase]
      4854,[Doc Ock&#39;s Bank Robbery]
      4855,[Spider-Man&#39;s Train Rescue]
      4856,[Doc Ock&#39;s Hideout]
      4857,[Doc Ock&#39;s Fusion Lab]
Education,[36b8f3f3-6c1d-4b6c-993b-5b8274f495e3]
   Explore,[02147d16-941b-4b1f-a7de-3b2db6bc532e]
      9210,[Wild Animals Set]
   Studios,[1a01b5fd-0d2f-466a-be6c-4d7ce571c3a9]
      9647,[Camera and Software Kit]
   Town,[8f2e6142-29a0-4cb7-a62d-be7699c095b7]
      9337,[Harbour Set]
   Technic,[93a37350-146e-4de3-a42f-5898d70badd5]
      5003166,[Technic Crossblocks]
      5003164,[Technic Angle Beams]
      5003165,[Technic Beams with Snaps]
      5003163,[Technic Studless Beams]
      9689,[Simple Machines Set]
      9633,[Advanced Air Power Set]
   Mindstorms,[9e19c840-7b7b-4135-8483-bda02c8111f1]
      45501,[DC Rechargeable Battery]
      45514,[Cable Pack]
      45515,[Bluetooth Dongle]
      45516,[WiFi Dongle]
      45544,[Education EV3 Core Set]
      45560,[Education EV3 Expansion Set]
      45570,[Space Challenge Set]
      5003246,[EV3 Track Rubber Elements]
      2000704,[Mindstorms Education (LME) Replacement Pack 5]
      9917,[DCP Sensor Connector Cable]
      9667,[LEGO Solar Panel]
      9668,[Energy Display]
      9669,[Energy Storage]
      9670,[E-Motor]
      9581,[LEGO USB Hub]
      9583,[Motion Sensor]
      9584,[Tilt Sensor]
      9695,[LEGO Mindstorms Education Resource Set]
      9594,[Green City Challenge Set]
   System,[a2fd71c6-07b3-4f37-8548-bbff83ac5f4b]
      9743,[Chromosomes - Student Set]
   ,[aa6ac785-dbc9-46b3-9eb6-bd46a587d23e]
      45110,[BuildToExpress Set]
      45002,[Tech Machines Set]
      45000,[Creative Builder]
      45001,[Playground]
      45003,[Soft Starter Set]
      45080,[Creative Cards]
      45100,[StoryStarter Core Set]
      2000424,[Story Starter sample set]
      45120,[LearnToLearn Core set]
      2000210,[Workshop Kit 1-2]
      2000211,[MoreToMath Kit 1-2 Snake]
      45102,[StoryStarter expansion pack: Space]
      45103,[StoryStarter expansion pack: Community]
      2000447,[Mini Milo]
      45300,[WeDo 2.0 Core Set]
      2045300,[WeDo 2.0 Curriculum Pack]
      5004837,[WeDo 2.0 YouCreate Classroom Packs]
      5004833,[WeDo 2.0 ReadyGo Classroom Packs]
      45304,[WeDo 2.0 Motion Sensor]
      45303,[WeDo 2.0 Medium Motor]
      45301,[WeDo 2.0 Smart Hub]
      45302,[WeDo 2.0 Smarthub Rechargeable Battery]
      45305,[WeDo 2.0 Tilt Sensor]
      5004838,[ WeDo 2.0 Add-On Power Pack]
      9274,[Doors and Windows]
      9301,[Traffic Signs]
      9247,[Community Workers]
      9540,[Early Maths 4+ Numbers Set]
      9541,[Early Maths 4+ Measurement Set]
      9542,[Early Maths 4+ Shape &amp; Space Set]
      9543,[Let&#39;s Play Maths]
      9544,[Maths Machines]
      9545,[Numbers Set]
      9546,[Mosaics Set]
      9065,[Brick Bulk Set]
      9230,[Town Set]
      9302,[Community Builders Set]
      9303,[Airport Set]
      9306,[Bulk Set with Special Bricks]
      9320,[Journey into Space]
      9547,[Letters Set]
      9040,[Learning Games Set]
      9132,[Community Transport Set]
      9412,[Duplo Bricks]
      9805,[Duplo Play Wall]
      9026,[Baby Stack &#39;n&#39; Learn Set]
      9089,[Tubes Experiment Set]
      9017,[Baby Discovery Set]
      9019,[Baby Stack &#39;n&#39; Learn Set]
      9031,[Vehicles Set]
      9130,[Around-the-House Set]
      9134,[Life-on-the-Farm Set]
      9126,[Dolls Medium Set]
      9127,[Dolls Large Set]
      9650,[Scenery Resource Set]
      9684,[Renewable Energy Set]
      9723,[Cities &amp; Transportation]
      9783,[Infrared Transmitter with USB Cable]
      9785,[Robo Technology Set with Serial Transmitter]
      9786,[Robo Technology Set with USB Transmitter]
      9793,[Team Challenge Set with Serial Transmitter]
      9794,[Team Challenge Set with USB Transmitter]
      9795,[Intelligent House Set]
      9247,[Community Workers]
      9321,[World Transport Services Set]
      9916,[Capacitor]
      9912,[Solar Cell]
      9649,[Technology Resource Set]
      9024,[LEGO Soft Imagination Set]
      9322,[Town Developers Set]
      9324,[Micro Building Set]
      9027,[Duplo Bulk Set]
      9241,[Wheels Set]
      9632,[Science and Technology Base Set]
      9797,[Mindstorms Education Base Set]
      9001,[Medium Storage Bin]
      9310,[Dinosaurs Set]
      9215,[Dolls Family Set]
      9206,[Tech Machines Set]
      9648,[Education Resource Set]
      9799,[Vernier NXT Sensor Adaptor]
      9530,[Letters Set]
      9531,[Numbers and Mosaics Set]
      9534,[Mosaic Tiles]
      9580,[WeDo Construction Set]
      9641,[Pneumatics Add-On Set]
      9680,[Energy Work, Power Starter Set]
      9091,[Playhouse Set]
      9311,[City Buildings Set]
      9334,[Animals Set]
      9207,[Community Vehicles Set]
      9314,[Rescue Services Set]
      9333,[Vehicles Set]
      9384,[Bricks Set]
      9385,[Sceneries Set]
      9386,[Doors, Windows]
      9686,[Simple &amp; Powered Machines Set]
      9217,[Farm Set]
      9694,[Colour Sensor]
      9693,[NXT DC Rechargeable Battery]
      9335,[Space &amp; Airport Set]
      9688,[Renewable Energy Add-On Set]
      9348,[Community Minifigure Set]
      9349,[Fairytale and Historic Minifigure Set]
      9387,[Wheels Set]
      9388,[Small building plates]
      9389,[Community Starter Set]
      9023,[Soft Brick Activity Set]
      9585,[WeDo Resource Set]
      9533,[Numbers Set]
   Duplo,[ac7ad966-b060-4b5b-a2b7-be7f27e604f4]
      45004,[Cafe+]
      45005,[Story Tales]
      45006,[Multi Vehicles]
      45007,[Large Farm]
      45008,[Math Train]
      45010,[Community People Set]
      45011,[World People Set]
      45012,[Wild Animals Set]
      9690,[Unknown]
      9238,[Farm Animals Set]
      9239,[Stable Set]
      9231,[Playhouse Set]
      9232,[Hospital Set]
      9236,[Garden Set]
      9237,[Garage Set]
      9234,[Dolls Family Set]
      9233,[Farm Set]
      9211,[Community Transport Set]
      9212,[Push Train Set]
      9224,[Community People Set]
      9240,[Fire Rescue Services Set]
      9213,[Dinosaurs Set]
      9214,[Wild Animals Set]
      9222,[World People Set]
      9225,[Playhouse Set]
      9226,[Hospital Set]
      9227,[Farm Set]
      9228,[Farm Animals Set]
      9229,[Police Station Set]
      9076,[Tubes Experiment Set]
      9656,[Early Simple Machines Set]
      9999,[Upgrade Kit for 9654]
      9077,[Brick Runner Set]
      9079,[Small Building Plates]
      9078,[Duplo Special Elements Set]
      9209,[Community Services Set]
      9218,[Wild Animals Set]
   Storage,[ac915318-ddce-4a88-aec3-cbad1a7d9f24]
      9840,[Storage Solution (6 Pack)]
   Supplementary Set,[cd3508e7-cb3b-4857-ba2c-81872a1ad895]
      9628,[Power Add-On Set]
Aquazone,[38813291-21c0-47fe-8275-fabfa287c713]
   Accessories,[3155ae1e-f43b-4246-9420-d7e4c150304d]
      6104,[Aquacessories]
   Stingrays,[6762a784-fe74-4678-be84-6565f0db42ee]
      6107,[Recon Ray]
      6109,[Sea Creeper]
      6140,[Crab]
      6160,[Sea Scorpion]
      6198,[Stingray Stormer]
   Aquaraiders,[9016719d-1529-4fd1-92de-462ac5e7599c]
      2160,[Crystal Scavenger]
      2161,[Aqua Dozer]
      2162,[Hydro Reef Wrecker]
   Aquasharks,[a49ada59-f6ef-4df6-86f9-eb5299c32548]
      6100,[Aquashark Dart]
      6115,[Shark Scout]
      6135,[Spy Shark]
      6155,[Deep Sea Predator]
      6190,[Shark&#39;s Crystal Cave]
   Aquanauts,[ab1100e7-c132-421e-b930-a0cc15b46853]
      6125,[Sea Sprint 9]
      6145,[Crystal Crawler]
      6175,[Crystal Explorer Sub]
      6195,[Neptune Discovery Lab]
      1728,[Crystal Crawler]
      1749,[Paravane]
      1806,[Underwater Scooter]
      1822,[Sea Claw 7]
   Hydronauts,[d1e26851-998c-489b-a726-fa4e27aa8d0d]
      1095,[Super Sub]
      6110,[Solo Sub]
      6150,[Crystal Detector]
      6159,[Crystal Detector]
      6180,[Hydro Search Sub]
      6199,[Hydro Crystallisation Station]
Friends,[397f296b-eab7-4091-8d11-3751e12b1f0a]
   Animals series 3,[010f1c7b-2507-4a8e-98aa-503b982f671c]
      41023,[Fawn&#39;s Forest]
      41024,[Parrot&#39;s Perch]
      41025,[Puppy&#39;s Playhouse]
   Product Collection,[11ee9162-a4b3-405d-96be-edf4aec6aa24]
      66435,[Super Pack 4-in-1]
      66434,[3-in-1 Super Pack]
      66455,[Friends Value Pack]
      66497,[Animals Christmas Party Set]
      5003097,[Friends Collection 1]
      66478,[Friends Value Pack]
      66496,[TRU Friends Copack]
      66526,[Value Pack]
      66537,[3-in-1 Super Pack]
   Amusement Park,[13cb586c-844e-4380-9540-b7e4e7981557]
      41127,[Amusement Park Arcade]
      41128,[Amusement Park Space Ride]
      41129,[Amusement Park Hot Dog Van]
      41130,[Amusement Park Roller Coaster]
      41133,[Amusement Park Bumper Cars]
      30399,[Bowling Alley]
   Vet,[228e7bbb-0fd6-4096-9ebc-d6c1bab29684]
      41085,[Vet Clinic]
      41086,[Vet Ambulance]
      41123,[Foal&#39;s Washing Station]
      41124,[Heartlake Puppy Daycare]
      41125,[Horse Vet Trailer]
   Animals series 4,[385f3993-fbde-40ce-b872-02af443d3617]
      41041,[Turtle&#39;s Little Paradise]
      41042,[Tiger&#39;s Beautiful Temple]
      41043,[Penguin&#39;s Playground]
   Animals series 5,[4929b7cd-85e1-4bc8-b651-48b5d50781e6]
      41044,[Macaw&#39;s Fountain]
      41045,[Orangutan&#39;s Banana Tree]
      41046,[Brown Bear&#39;s River]
   Party,[4bc6d8d3-6508-4b18-aa30-2335f4597e40]
      41110,[Birthday Party]
      41111,[Party Train]
      41112,[Party Cakes]
      41113,[Party Gift Shop]
      41114,[Party Styling]
   Pop Star,[4fec5bed-b116-43be-95ab-b945f2a06b3b]
      41103,[Pop Star Recording Studio]
      41104,[Pop Star Dressing Room]
      41105,[Pop Star Show Stage]
      41106,[Pop Star Tour Bus]
      41107,[Pop Star Limousine]
      30205,[Pop Star Red Carpet]
      41117,[Pop Star TV Studio]
      41135,[Livi&#39;s Pop Star House]
   Promotional,[5d5d8fe4-1390-47fe-9117-617407b55917]
      WISHINGWELL,[Wishing Well]
      5002112,[Bracelets]
      5002113,[Beach Hammock]
      30100,[Beach]
      30101,[Skateboarder]
      30103,[Car]
      30105,[Mailbox]
      30102,[Desk]
      5000245,[Stephanie]
      4659602,[{Display Stand}]
      TRU02,[Lemonade Stand]
      ICECREAM,[Ice Cream Stand]
      4659597,[Bracelets]
      6024305,[Best Friends bricks]
   Seasonal,[6503cf99-6ce7-40e2-995f-2a3d01324e40]
      41016,[Friends Advent Calendar]
      41040,[Friends Advent Calendar]
      41102,[Friends Advent Calendar]
      41131,[Friends Advent Calendar]
      3316,[Friends Advent Calendar]
   Accessories,[74af7964-b831-4f57-8ec4-fecf2bbb75e4]
      5004395,[Jewellery and Sticker Pack]
   ,[8f9531a5-9dc4-4bea-86f6-1ad32863b779]
      41005,[Heartlake High]
      41006,[Downtown Bakery]
      41009,[Andrea&#39;s Bedroom]
      41010,[Olivia&#39;s Beach Buggy]
      41015,[Dolphin Cruiser]
      30106,[Ice Cream Stand]
      30107,[Birthday Party]
      30108,[Summer Picnic]
      850581,[Friends Brick Calendar]
      40080,[Friends Pencil Holder]
      850591,[Friends Name Sign]
      6043173,[Promotional polybag]
      41026,[Sunshine Harvest]
      41027,[Mia&#39;s Lemonade Stand]
      41028,[Emma&#39;s Lifeguard Post]
      41029,[Stephanie&#39;s New Born Lamb]
      41035,[Heartlake Juice Bar]
      41037,[Stephanie&#39;s Beach House]
      41039,[Sunshine Ranch]
      41056,[Heartlake News Van]
      6043183,[Children&#39;s Jewellery]
      41057,[Heartlake Horse Show]
      11902,[Brickmaster Friends: Treasure Hunt in Heartlake City parts]
      30113,[Stephanie&#39;s Bakery Stand]
      30112,[Emma&#39;s Flower Stand]
      40114,[Buildable Jewellery Box]
      41030,[Olivia&#39;s Ice Cream Bike]
      41031,[Andrea&#39;s Mountain Hut]
      41034,[Summer Caravan]
      41058,[Heartlake Shopping Mall]
      30114,[Andrea&#39;s Beach Lounge ]
      30115,[Jungle Boat]
      40112,[Catwalk phone stand]
      850967,[Jungle Accessory Set]
      41087,[Bunny &amp; Babies]
      41088,[Puppy Training]
      41089,[Little Foal]
      41090,[Olivia&#39;s Garden Pool]
      41091,[Mia&#39;s Roadster]
      41092,[Stephanie&#39;s Pizzeria]
      41093,[Heartlake Hair Salon]
      41094,[Heartlake Lighthouse]
      41095,[Emma&#39;s House]
      41097,[Heartlake Hot Air Balloon]
      30202,[Smoothie Stand]
      30203,[Mini Golf]
      30204,[Wish Fountain]
      853441,[Mini-doll Carry Case]
      41098,[Emma&#39;s Tourist Kiosk]
      41099,[Heartlake Skate Park]
      41100,[Heartlake Private Jet]
      41101,[Heartlake Grand Hotel]
      5002929,[Friends Interior Design Kit]
      5002928,[Party polybag]
      41108,[Heartlake Food Market]
      41109,[Heartlake City Airport]
      40156,[Organiser]
      851362,[Party Set]
      5002931,[Disco Dance Floor]
      11908,[Build your own Adventure parts]
      41115,[Emma&#39;s Creative Workshop]
      41116,[Olivia&#39;s Exploration Car]
      41118,[Heartlake Supermarket]
      41119,[Heartlake Cupcake Cafe]
      30396,[Cupcake Stall]
      41126,[Heartlake Riding Club]
      41134,[Heartlake Performance School]
      3315,[Olivia&#39;s House]
      3188,[Heartlake Vet]
      3061,[City Park Cafe]
